ethereum/go-ethereum, ETH
solana-labs/solana, SOL
binance-chain/bsc, BNB
input-output-hk/cardano-node, ADA
polygon-repo/polygon, MATIC
avalancheavax/avalanchego, AVAX
algorand/go-algorand, ALGO
cosmos/cosmos-sdk, ATOM
tezos/tezos, XTZ
celo-org/celo-blockchain, CELO
terra-project/core, LUNA
thetanet/thetanet, THETA
ElrondNetwork/elrond-go, EGLD
nervosnetwork/ckb, CKB
ontio/ontology, ONT
near/nearcore, NEAR
enigmampc/secret-network, SCRT
ArweaveTeam/arweave, AR
hashgraph/hedera-services, HBAR
paritytech/polkadot, DOT
dfinity/ic, ICP
kusama-network/kusama, KSM
graphprotocol/graph-node, GRT
skalenetwork/skale-node, SKL
